subject_id,race,sex,age,has_injury,role,role_number,resistance
469,Other / Mixed Race,Male,35,No,A,1,tensed
470,Black,Male,30,Yes,A,1,assaulted officer
471,Black,Female,26,No,A,1,fled on foot
472,White,Male,28,No,A,1,unspecified
473,Native American,Male,55,No,OT,1,tensed
474,White,Female,23,No,OT,1,verbal non-compliance
475,Other / Mixed Race,Female,32,Yes,OT,1,verbal non-compliance
476,White,Male,31,No,OT,1,unspecified
477,Black,Male,34,No,A,1,verbal non-compliance
478,Black,Male,19,Yes,A,1,unspecified
479,White,Male,24,,A,1,tensed
480,White,Male,28,Yes,OT,1,fled in vehicle
481,White,Male,21,,A,1,verbal non-compliance
482,Black,Male,40,No,A,1,fled on foot
483,White,Male,22,No,A,2,commission of crime
484,White,Male,21,Yes,A,1,verbal non-compliance
485,Other / Mixed Race,Male,25,No,O,1,tensed
486,Black,Male,29,Yes,A,1,commission of crime
487,Asian,Male,14,No,A,3,fled on foot
488,White,Male,22,,OT,1,unspecified
489,Black,Male,46,Yes,A,1,tensed
490,Black,Male,20,No,A,1,commission of crime
491,Black,Female,15,No,A,2,tensed
492,Black,Female,25,,A,2,commission of crime
493,White,Male,17,No,A,1,tensed
494,Black,Male,30,No,A,1,commission of crime
495,White,Male,19,No,A,1,commission of crime
496,Native American,Male,22,No,A,1,unspecified
497,Black,Male,17,No,A,1,fled on foot
498,Black,Male,20,No,A,1,fled on foot
499,Black,Male,18,Yes,A,1,fled in vehicle
500,White,Male,27,,A,1,tensed
501,Black,Male,40,No,A,1,commission of crime
502,Black,Male,19,No,A,2,fled on foot
503,Black,Male,18,No,OT,1,tensed
504,Black,Male,36,No,A,1,tensed
505,Black,Male,28,Yes,A,1,assaulted officer
506,Black,Male,18,Yes,A,2,commission of crime
507,Native American,Male,50,Yes,OT,1,tensed
508,White,Male,34,,A,1,tensed
509,White,Male,21,No,A,1,unspecified
510,Black,Male,17,Yes,A,1,commission of crime
511,Black,Male,23,,A,1,fled on foot
512,White,Male,24,Yes,A,1,fled on foot
513,White,Male,25,Yes,A,3,assaulted officer
514,Native American,Male,22,No,A,1,unspecified
515,Black,Male,17,No,A,1,fled on foot
516,Native American,Female,18,No,A,1,commission of crime
517,Other / Mixed Race,Male,23,Yes,A,2,verbal non-compliance
518,White,Male,22,,A,1,commission of crime
519,Black,Male,36,Yes,A,2,assaulted officer
520,White,Male,23,Yes,A,1,fled on foot
521,Black,Male,23,Yes,A,1,tensed
522,White,Male,18,No,A,1,fled on foot
523,Black,Male,22,No,A,1,fled on foot
524,Black,Male,38,No,A,2,commission of crime
525,Black,Male,19,No,A,1,fled on foot
526,White,Male,32,No,A,1,assaulted officer
527,White,Male,51,,OT,1,tensed
528,Null,Null,37,Yes,A,1,fled on foot
529,Other / Mixed Race,Male,18,No,A,1,tensed
530,Black,Female,35,,OT,1,unspecified
531,Black,Male,41,,A,1,tensed
532,Black,Male,14,No,A,2,fled in vehicle
533,Black,Male,29,No,A,1,tensed
534,Other / Mixed Race,Male,45,Yes,A,1,tensed
535,White,Male,26,Yes,A,1,fled in vehicle
536,Black,Male,46,Yes,A,1,tensed
537,White,Male,26,Yes,A,1,tensed
538,Black,Male,20,No,A,1,fled on foot
539,Black,Male,38,,A,1,tensed
540,Black,Male,29,No,A,1,verbal non-compliance
541,Black,Male,21,No,A,1,commission of crime
542,Black,Male,24,No,A,1,fled on foot
543,Black,Male,45,No,V,2,fled on foot
544,Black,Male,52,Yes,A,3,fled on foot
545,Other / Mixed Race,Male,15,No,A,1,fled on foot
546,Native American,Male,18,No,A,1,fled on foot
547,White,Male,23,Yes,A,1,tensed
548,Black,Male,32,Yes,A,1,assaulted officer
549,White,Male,35,Yes,A,1,fled on foot
550,White,Male,26,Yes,A,1,fled in vehicle
551,Black,Male,36,No,A,1,tensed
552,Asian,Male,19,Yes,A,1,commission of crime
553,Null,Male,26,No,A,1,commission of crime
554,Native American,Female,46,,A,2,verbal non-compliance
555,Black,Male,38,No,A,1,fled on foot
556,White,Male,23,Yes,A,1,tensed
557,White,Male,54,No,A,1,tensed
558,Other / Mixed Race,Male,45,Yes,A,1,tensed
559,Black,Male,16,No,A,1,fled on foot
560,Native American,Female,30,No,A,1,tensed
561,Black,Male,40,No,A,1,fled on foot
562,Black,Female,25,,A,2,commission of crime
563,Black,Male,23,,A,1,verbal non-compliance
564,White,Male,23,,A,1,commission of crime
565,Other / Mixed Race,Male,25,No,O,1,tensed
566,Other / Mixed Race,Male,18,No,A,1,tensed
567,Other / Mixed Race,Male,22,Yes,A,1,commission of crime
568,Black,Male,24,No,A,1,fled on foot
569,Black,Male,19,No,OT,1,verbal non-compliance
570,Other / Mixed Race,Male,29,No,A,1,tensed
571,Black,Male,23,Yes,A,2,tensed
572,Black,Male,36,Yes,A,1,fled in vehicle
573,Black,Male,30,No,A,1,verbal non-compliance
574,Black,Male,21,No,A,1,assaulted officer
575,Black,Male,30,No,A,1,assaulted officer
576,White,Male,30,Yes,A,2,commission of crime
577,Black,Male,26,No,A,1,commission of crime
578,Other / Mixed Race,Male,19,Yes,A,1,fled on foot
579,Black,Female,43,Yes,S,1,fled on foot
580,Asian,Male,14,No,A,3,fled on foot
581,Black,Male,18,Yes,A,1,fled in vehicle
582,Black,Male,48,No,A,1,commission of crime
583,Black,Male,37,No,A,1,verbal non-compliance
584,Black,Male,25,No,OT,1,verbal non-compliance
585,Black,Male,28,No,A,1,tensed
586,Black,Male,18,No,A,1,verbal non-compliance
587,Native American,Female,23,,A,1,fled in vehicle
588,White,Male,19,Yes,A,1,tensed
589,Black,Male,66,Yes,A,1,assaulted officer
590,White,Male,21,No,A,1,fled on foot
591,Black,Male,26,Yes,A,1,fled on foot
592,Black,Male,43,No,A,2,verbal non-compliance
593,Black,Male,50,,A,1,commission of crime
594,Black,Male,24,Yes,A,1,fled in vehicle
595,Black,Male,28,No,A,1,tensed
596,Black,Male,42,,A,1,fled in vehicle
597,Other / Mixed Race,Female,60,No,A,1,tensed
598,Black,Male,21,,A,1,tensed
599,Black,Male,25,,AL,1,tensed
600,Black,Male,43,Yes,A,1,fled on foot
601,Black,Male,16,No,A,1,fled on foot
602,Black,Male,24,,A,1,verbal non-compliance
603,Black,Male,21,,A,1,verbal non-compliance
604,Black,Female,20,,A,2,assaulted officer
605,White,Male,27,,A,1,tensed
606,White,Male,39,,A,1,tensed
607,Black,Male,20,No,A,1,commission of crime
608,White,Male,19,,A,1,tensed
609,Black,Male,27,Yes,OT,1,tensed
610,Black,Male,18,Yes,A,2,commission of crime
611,Black,Male,40,No,A,1,fled on foot
612,Native American,Male,19,No,A,1,verbal non-compliance
613,White,Male,32,,OT,1,unspecified
